Date ,Crop ,Trt,Plot,Split ,Family ,Genus ,Species ,Adult/ Juvenile ,,Project: ,CE2 corn Pitfalls
tbd ,bean ,,203,1,Lycosidae,Pardosa,na,adult ,,,
tbd ,bean ,,203,1,Liniphiide,na,na,adult,,,
tbd ,bean ,,203,1,Opiliones,na,na,adult,,,
tbd ,bean ,,203,1,Opiliones,na,na,adult,,,
tbd ,bean ,,203,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,203,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,203,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,203,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,203,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,203,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,202,1,Carabidae,Poecilus,lucublandus,adult,,,
tbd ,bean ,,202,1,Carabidae ,Poecilus ,lucublandus ,adult,,,
tbd ,bean ,,202,1,Carabidae ,Poecilus ,lucublandus ,adult,,,
tbd ,bean ,,202,1,Carabidae ,Poecilus ,lucublandus ,adult,,,
tbd ,bean ,,202,1,Carabidae ,Poecilus ,lucublandus ,adult,,,
tbd ,bean ,,202,1,Carabidae,Chlaenius,tricolor,adult,,,
tbd ,bean ,,202,1,Carabidae,Chlaenius,tricolor,adult,,,
tbd ,bean ,,202,1,Lycosidae,Pardosa,na,adult,,,
tbd ,bean ,,202,1,Lycosidae,Pardosa,na,adult,,,
tbd ,bean ,,202,1,Lycosidae,Schizocosa,na,adult,,,
tbd ,bean ,,202,1,Linyphiidae,na,na,adult,,,
tbd ,bean ,,202,1,Opiliones,na,na,adult,,,
tbd ,bean ,,202,1,Opiliones,na,na,adult,,,
tbd ,bean ,,202,1,Opiliones,na,na,adult,,,
tbd ,bean ,,202,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,202,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,202,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,202,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,202,1,Carabidae,Amara,na,adult,,,
tbd ,bean ,,202,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,403,1,Linyphiidae,na,na,adult,,,
tbd ,bean ,,403,1,Lycosidae,Pardosa,na,adult,,,
tbd ,bean ,,403,1,Staphylinidae,na,na,adult,,,
tbd ,bean ,,403,1,Carabidae,Poecilus,lucublandus,adult,,,
tbd ,bean ,,403,1,Opiliones,na,na,adult,,,
tbd ,bean ,,403,1,Opiliones,na,na,adult,,,
tbd ,bean ,,403,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,403,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,403,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,403,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,403,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,304,1,Lycosidae,Pardosa,na,adult,,,
tbd ,bean ,,304,1,Lycosidae,Pardosa,na,adult,,,
tbd ,bean ,,304,1,Lycosidae,Pardosa,na,adult,,,
tbd ,bean ,,304,1,Lycosidae,Pardosa,na,adult,,,
tbd ,bean ,,304,1,Lycosidae,Schizocosa,na,adult,,,
tbd ,bean ,,304,1,Elateridae,na,na,adult,,,
tbd ,bean ,,304,1,Opiliones,na,na,adult,,,
tbd ,bean ,,304,1,Opiliones,na,na,adult,,,
tbd ,bean ,,304,1,Opiliones,na,na,adult,,,
tbd ,bean ,,304,1,Opiliones,na,na,adult,,,
tbd ,bean ,,304,1,Opiliones,na,na,adult,,,
tbd ,bean ,,304,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,304,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,304,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,304,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,304,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,304,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,304,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,304,1,Opiliones,na,na,juvenile,,,
tbd ,bean ,,304,2,Lycosidae,Pardosa,na,adult,,,
tbd ,bean ,,304,2,Staphylinidae,na,na,adult,,,
tbd ,bean ,,304,2,Elateridae,na,na,adult,,,
tbd ,bean ,,304,2,Opiliones,na,na,adult,,,
