time_block,date,crop,treatment,plot,SUM_Lycosid ,SUM_Poecilus,SUM_ Amara,SUM_Pterostichus,SUM_Chlaenius,SUM_Thomisidae,SUM_Opiliones,SUM_Stenolophus,SUM_Linyphiidae,SUM_Elateridae,SUM_Staphylinidae,SUM_Formicidae,SUM_Badister,SUM_Bembidion,SUM_Cincidelidae,growth_stage,date,sum_pred_plot
1,5/26/2022,Soybeans,1,101,11,4,0,0,0,0,23,0,1,6,0,0,0,0,0,V3,6/22/2022,4
1,5/26/2022,Soybeans,2,102,5,2,0,0,1,0,25,0,0,2,0,2,0,0,0,V3,6/22/2022,6
1,5/26/2022,Soybeans,3,103,1,0,0,0,0,0,14,0,0,0,1,0,0,0,0,V3,6/22/2022,4
1,5/26/2022,Soybeans,4,104,3,5,1,0,4,0,19,0,0,3,1,0,0,0,0,V3,6/22/2022,6
1,5/26/2022,Soybeans,2,201,11,1,4,0,2,0,33,0,1,7,1,1,0,0,0,V3,6/22/2022,6
1,5/26/2022,Soybeans,4,202,7,2,1,0,4,0,20,0,1,0,1,1,0,0,0,V3,6/22/2022,4
1,5/26/2022,Soybeans,1,203,5,1,0,0,0,0,38,0,0,3,3,5,0,0,0,V3,6/22/2022,4
1,5/26/2022,Soybeans,3,204,1,0,0,0,0,0,3,0,0,2,1,0,0,0,0,V3,6/22/2022,6
1,5/26/2022,Soybeans,4,301,2,3,0,0,0,0,25,0,0,0,1,2,0,0,0,V3,6/22/2022,3
1,5/26/2022,Soybeans,3,302,11,3,0,0,1,0,14,0,0,1,1,0,0,0,0,V3,6/22/2022,6
1,5/26/2022,Soybeans,2,303,3,3,0,0,0,0,13,0,0,6,1,1,0,0,0,V3,6/22/2022,4
1,5/26/2022,Soybeans,1,304,6,0,0,0,0,0,27,0,0,2,1,0,1,0,0,V3,6/22/2022,4
1,5/26/2022,Soybeans,1,401,2,2,1,0,0,0,29,0,4,3,0,0,0,0,1,V3,6/22/2022,6
1,5/26/2022,Soybeans,2,402,5,2,0,0,0,0,33,0,0,2,0,0,0,0,0,V3,6/22/2022,6
1,5/26/2022,Soybeans,3,403,3,2,0,0,1,0,28,0,1,0,4,0,0,1,0,V3,6/22/2022,6
1,5/26/2022,Soybeans,4,404,0,3,1,0,0,0,21,0,0,1,0,0,0,0,0,V3,6/22/2022,6
1,5/26/2022,Soybeans,3,501,9,6,0,0,0,0,9,0,0,1,0,2,0,0,0,V3,6/22/2022,5
1,5/26/2022,Soybeans,2,502,3,5,0,0,0,0,8,0,0,3,0,3,0,0,0,V3,6/22/2022,5
1,5/26/2022,Soybeans,1,503,5,2,0,0,0,0,17,0,0,1,2,4,0,0,0,V3,6/22/2022,3
1,5/26/2022,Soybeans,4,504,24,1,0,0,0,0,30,0,2,0,1,5,0,0,0,V3,6/22/2022,5
2,7/1/2022,Soybeans,1,101,7,1,1,0,0,1,8,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,2,102,6,6,0,2,4,1,1,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,3,103,18,4,0,2,1,0,5,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,4,104,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,2,201,15,1,0,4,2,0,2,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,4,202,7,2,0,2,2,1,0,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,1,203,6,1,0,2,1,0,0,0,0,0,0,0,0,0,0,V5,7/12/2022,5
2,7/1/2022,Soybeans,3,204,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,4,301,8,2,1,3,0,0,1,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,3,302,13,4,0,2,0,0,5,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,2,303,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,1,304,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,1,401,5,1,0,1,1,1,3,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,2,402,7,3,0,1,1,1,0,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,3,403,8,3,0,0,1,1,3,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,4,404,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,3,501,4,2,0,0,0,0,6,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,2,502,8,3,0,3,2,0,1,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,1,503,7,1,0,1,0,1,2,0,0,0,0,0,0,0,0,V5,7/12/2022,6
2,7/1/2022,Soybeans,4,504,16,2,0,1,1,1,1,0,0,0,0,0,0,0,1,V5,7/12/2022,6
3,8/18/2022,Soybeans,1,101,3,2,0,9,0,0,10,0,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,2,102,1,0,0,22,0,0,2,0,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,3,103,9,0,0,30,0,0,3,0,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,4,104,18,0,0,30,0,0,1,1,0,0,0,0,0,0,0,R3,9/1/2022,6
3,8/18/2022,Soybeans,2,201,3,0,0,59,0,0,5,0,0,0,0,0,0,0,0,R3,9/1/2022,6
